ShopRecordID|ArrivalDate|Age|ShopID|IsHeavy|CarModelID|CommodityID|DateCompleted
1|2017-06-27|8.49|471553|True|292204|477991|2018-01-02
2|2017-10-10|7.86|471554|True|292205|477992|2018-02-24
3|2017-10-10|4.32|471555|False|292206|477993|2018-01-24
4|2017-10-04|10.1|471556|False|292207|477994|2018-06-15
5|2017-10-18|9.64|471556|True|292207|477995|2018-02-16
6|2017-11-02|20.6|471557|False|292208|477996|2018-01-11
7|2017-12-14|9.79|471554|True|292205|477997|2018-01-11
8|2017-12-04|10.93|471553|True|292209|477998|2018-03-14
9|2018-01-09|10.2|471553|True|292210|477999|2018-02-06
10|2017-12-05|10.1|471553|True|292210|477999|2018-01-15
11|2017-12-14|16.3|471554|False|292208|478000|2018-01-12
12|2017-12-27|10.08|471554|True|292209|477998|2018-01-13
13|2017-12-12|10.46|471558|True|292211|478001|2018-01-15
14|2017-12-19|10.39|471559|True|292211|478002|2018-02-23
15|2017-12-18|10.39|471560|True|292211|478003|2018-01-19
16|2017-12-20|10.65|471553|True|292212|478004|2018-03-06
17|2018-01-02|10.26|471558|True|292210|478005|2018-02-05
18|2018-01-05|10.77|471554|True|292209|477998|2018-01-11
19|2018-01-05|10.69|471554|True|292209|477998|2018-01-15
20|2018-02-28|10.39|471554|True|292209|478006|2018-04-09
21|2018-03-12|25.38|471559|False|292213|478007|2018-06-07
22|2018-02-28|9.92|471554|True|292211|478008|2018-04-13
23|2018-11-05|6.75|471561|False|292214|478009|2019-09-29
24|2018-03-08|9.61|471554|True|292215|478010|2018-07-03
25|2018-02-27|9.83|471557|True|292211|478011|2018-06-28
26|2018-02-22|6.26|471557|False|292214|478009|2018-03-16
27|2018-03-02|11.17|471553|True|292216|478012|2018-05-07
28|2018-02-28|10.17|471557|True|292217|478013|2018-06-01
29|2018-02-28|8.5|471559|True|292205|477992|2018-04-13
30|2018-02-28|8.5|471559|True|292205|477992|2018-04-20
31|2018-05-09|11.36|471553|True|292216|478012|2018-09-04
32|2018-05-03|19.35|471562|False|292215|478014|2018-06-07
33|2018-04-26|19.33|471562|False|292215|478014|2018-06-15
34|2018-06-21|10.26|471556|True|292218|478005|2019-01-16
35|2018-05-11|10.28|471554|True|292209|477998|2018-05-24
36|2018-04-26|10.16|471556|True|292218|478005|2019-01-24
37|2018-04-28|9.83|471553|False|292219|478015|2018-08-18
38|2018-04-16|9.63|471557|False|292205|478016|2019-01-21
39|2018-07-10|10.2|471553|True|292219|478017|2018-07-30
40|2018-07-18|6.3|471557|False|292214|478018|2018-10-05
41|2018-07-12|10.37|471563|True|292209|477998|2018-11-21
42|2018-07-02|43.53|471564|False|292215|478019|2018-08-01
43|2018-07-18|6.61|471557|False|292214|478018|2018-08-30
44|2018-08-27|6.53|471554|False|292214|478018|2019-04-10
45|2018-08-21|10.39|471554|True|292211|478008|2018-09-28
46|2018-08-20|8.28|471565|False|292214|478009|2018-10-25
47|2018-08-21|12.56|471554|False|292208|478018|2019-06-17
48|2018-08-20|10.22|471557|True|292219|478020|2018-11-09
49|2018-08-28|7.93|471554|False|292214|478018|2019-06-07
50|2018-11-26|9.41|471557|True|292214|478018|2019-03-15
51|2018-12-13|5.2|471566|True|292206|477993|2019-03-31
52|2018-11-20|6.68|471565|True|292214|478009|2019-01-28
53|2018-12-18|26.31|471567|False|292220|478005|2019-11-01
54|2018-12-10|10.78|471558|True|292218|478021|2019-01-25
55|2018-12-19|10.56|471568|False|292211|478022|2019-01-09
56|2018-12-13|19.96|471557|True|292208|477996|2019-06-27
57|2018-11-29|10.42|471553|True|292221|478023|2019-03-18
58|2018-11-29|16.59|471554|False|292208|477996|2019-01-05
59|2018-11-27|9.66|471557|True|292214|478018|2019-02-08
60|2018-11-29|10.08|471557|True|292209|477998|2019-03-07
61|2019-01-14|10.38|471569|False|292205|478016|2019-03-26
62|2019-01-15|15.64|471554|False|292208|477996|2019-02-14
63|2017-03-20|23.48|471570|True|292222|478024|2018-04-20
64|2017-06-06|20.04|471553|True|292215|478025|2018-03-01
65|2017-05-26|9.57|471553|True|292223|478026|2018-01-26
66|2017-11-14|8.01|471553|True|292205|477992|2018-01-16
67|2017-11-21|15.32|471553|False|292218|478005|2018-01-15
68|2017-11-08|10.11|471557|True|292210|478005|2018-01-22
69|2017-10-11|10.37|471555|True|292209|478027|2018-02-15
70|2017-12-07|10.02|471557|True|292221|478028|2018-05-04
71|2017-12-04|9.52|471556|True|292210|478029|2018-03-02
72|2017-11-30|18.84|471557|True|292208|477996|2018-03-16
73|2018-01-05|10.44|471554|True|292212|478022|2018-01-25
74|2018-01-11|16.37|471554|False|292208|477996|2018-02-02
75|2018-01-08|8.66|471553|False|292219|478030|2018-04-07
76|2017-12-27|10.08|471568|True|292223|478026|2018-01-24
77|2017-12-19|10.64|471553|True|292209|478027|2018-02-05
78|2017-12-27|10.08|471554|True|292217|478013|2018-01-31
79|2018-01-09|10.28|471554|True|292208|478031|2018-03-17
80|2017-12-21|10.4|471554|True|292212|478022|2018-01-09
81|2018-04-09|17.28|471564|True|292221|478032|2018-07-26
82|2017-12-22|10.57|471571|True|292209|478033|2018-05-17
83|2018-03-06|10.52|471556|False|292207|477994|2018-06-15
84|2018-02-28|10.67|471557|True|292211|478034|2018-04-30
85|2018-02-27|9.41|471565|True|292214|478009|2018-11-16
86|2018-03-08|10.04|471554|True|292217|478013|2018-05-07
87|2018-02-19|9.19|471557|True|292224|478035|2019-10-29
88|2018-03-08|5.08|471566|False|292206|477993|2018-06-13
89|2018-03-21|10.14|471568|True|292223|478026|2018-04-30
90|2018-02-27|10.25|471557|True|292221|478028|2018-07-06
91|2018-02-28|8.75|471557|True|292214|478009|2018-07-06
92|2018-03-07|5.94|471557|False|292214|478009|2018-04-06
93|2018-03-02|15.18|471553|False|292213|478007|2018-07-18
94|2018-03-21|10.06|471557|True|292217|478013|2018-06-22
95|2018-03-12|25.38|471559|False|292213|478007|2018-07-23
96|2018-03-02|10.34|471553|False|292215|478036|2018-08-06
97|2018-02-22|10.15|471553|True|292219|478037|2018-05-09
98|2018-03-05|5.32|471565|False|292214|478009|2018-11-16
99|2018-05-01|16.76|471557|True|292215|478038|2018-07-31
100|2018-05-03|19.35|471562|False|292215|478014|2018-05-29
101|2018-04-25|10.16|471563|False|292210|478005|2018-07-10
102|2018-04-24|36.92|471557|False|292210|478039|2018-08-23
